created_at,text
2021-12-01 7:49:26,"RT @slipperyhero: @niceDonaIdTrump @foggybottomgal To be fair, #hitler &amp; the #nazis #copied #Stalin's #propaganda techniques. https://t.co/…"
2021-12-01 7:46:25,"Why are these buffoons pushing for a similar footing as #Jinping #Hitler #Stalin 

They don’t care about the Consti… https://t.co/AF4FIPIhA6"
2021-12-01 7:29:44,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-12-01 7:21:26,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-12-01 6:52:56,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-12-01 6:30:21,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-12-01 6:25:20,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-12-01 6:20:19,WHO IS MAKING DRAMA BY MAKING #Parliament A PLAY GROUND PASSING 14 BILLS IN #PARLIAMENTMONSOONSESSION KICKING OUT O… https://t.co/XmlE8rcKRJ
2021-12-01 6:18:04,"YES,THIS IS RULE OF #HITLER #MUSSOLINI AND #DYRES GOING ON BY BIG BIG DIALOGUE GIVING "" WE ONLY GIVE RESPECT TO DEM… https://t.co/vJtp7y3dHL"
2021-12-01 5:25:50,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-12-01 5:15:41,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-12-01 5:08:43,"RT @NormanDomeier: My new book on the American journalists in Nazi Germany has just been published.
#AssociatedPress #AP #NationalSocialism…"
2021-12-01 5:06:10,@KAFKA_Dev Remember #Hitler
2021-12-01 4:59:17,"Same goes with WWII, #Hitler, and the Holocaust narrative. People are sent to prison in half of Europe for just sta… https://t.co/AI3zFkLMDs"
2021-12-01 4:45:07,@greggutfeld #UyghurGenocide #DetentionCamps #Hitler #abomination women are raped nightly by men wearing masks &amp; Suits🤢 😡 so much going on
2021-12-01 4:41:42,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-12-01 4:20:42,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-12-01 4:06:29,"RT @slipperyhero: @niceDonaIdTrump @foggybottomgal To be fair, #hitler &amp; the #nazis #copied #Stalin's #propaganda techniques. https://t.co/…"
2021-12-01 3:52:04,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-12-01 3:48:38,CITIZEN WANTS TO KNOW THEN WHY 14 NOS BILLS WEERE PASSED #PARLIAMENTMONSOONSESSION KICKING OUT OPPOSITION INTO DUST… https://t.co/pUKKPnfk57
2021-12-01 3:46:46,"WHY BEFOOLING ON THE TACTICS OF FOLLOWING THEORY OF ELIMINATION, TO AVOID DEBATE/DISCUSSION LIKE… https://t.co/4Nx4PWQtuO"
2021-12-01 3:44:38,Starting to wish #Hitler won the war... this world has gone to shit.
2021-12-01 3:41:57,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-12-01 3:39:50,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-12-01 3:25:55,"CITIZEN WANTS TO KNOW WHY #PARLIAMENTMONSOONSESSION, 14 BILLS WERE PASSED KICKING OUT OPPOSITION INTO DUSTBIN, WITH… https://t.co/g5t4odEq4D"
2021-12-01 3:22:38,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-12-01 3:20:39,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-12-01 3:07:28,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-12-01 3:04:52,RT @Charles_Lister: More prosecutable evidence exists against #Assad than we had against #Hitler -- so the recent wave of regional re-engag…
2021-12-01 2:37:41,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-12-01 2:32:08,"RT @slipperyhero: @niceDonaIdTrump @foggybottomgal To be fair, #hitler &amp; the #nazis #copied #Stalin's #propaganda techniques. https://t.co/…"
2021-12-01 2:26:04,Who knew  #Hitler didn't have to shoot himself but just shouldve taken the  #DaveChappelle route and go to a highsc… https://t.co/3yI01VqOQh
2021-12-01 2:19:26,"RT @slipperyhero: @niceDonaIdTrump @foggybottomgal To be fair, #hitler &amp; the #nazis #copied #Stalin's #propaganda techniques. https://t.co/…"
2021-12-01 1:45:00,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-12-01 1:37:03,"RT @slipperyhero: @niceDonaIdTrump @foggybottomgal To be fair, #hitler &amp; the #nazis #copied #Stalin's #propaganda techniques. https://t.co/…"
2021-12-01 1:05:42,"In #fiction, #Lincoln befriends #Gandhi, dates #Cleopatra, fights Genghis Khan, impresses Attila the Hun, saves… https://t.co/MGheMxIyJ3"
2021-12-01 0:52:16,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-12-01 0:45:56,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-12-01 0:45:21,IBM applauds Knative’s application to join the Cloud Native Computing Foundation https://t.co/2WK1XwN6SE better tha… https://t.co/zqzZrLJQXx
2021-12-01 0:41:32,#CharlesRichet is a far worse #Eugenicist than #Hitler ever was... And that's saying something.
2021-12-01 0:23:41,"RT @slipperyhero: @niceDonaIdTrump @foggybottomgal To be fair, #hitler &amp; the #nazis #copied #Stalin's #propaganda techniques. https://t.co/…"
2021-12-01 0:22:08,"@niceDonaIdTrump @foggybottomgal To be fair, #hitler &amp; the #nazis #copied #Stalin's #propaganda techniques. https://t.co/CHePxWfOol"
2021-12-01 0:19:02,"RT @dljordan2: @CawthornforNC Is he your #Führer now? I thought you reserved that for #Hitler when you visited the #EaglesNest. 

You are t…"
2021-12-01 0:16:43,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-12-01 0:09:29,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-11-30 23:50:14,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 23:45:09,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-11-30 23:32:42,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 23:28:18,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 23:07:29,"#schooshooting orchestrated, or not? Vile tragedy. #RIP 
 
#MaeBrussell warned ""Nazification of The World"" 40 yrs a… https://t.co/6G3SiEU4Yg"
2021-11-30 22:54:40,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 22:42:08,"@AlexSeale @GabrielAttal @Europe1 Send @GabrielAttal the vital article by @Freedland about #Zemmour, which EVERYONE… https://t.co/GUjwBAPpI6"
2021-11-30 22:35:32,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 22:24:41,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 22:09:45,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 22:00:05,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 21:59:44,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 21:52:36,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
